================ Training Loss (Tue Apr  2 12:30:15 2024) ================
(epoch: 11, iters: 100, time: 0.126, data: 0.185) D_A: 0.228 G_A: 0.151 cycle_A: 0.530 idt_A: 0.493 D_B: 0.277 G_B: 0.262 cycle_B: 1.151 idt_B: 0.231 
(epoch: 11, iters: 200, time: 0.127, data: 0.001) D_A: 0.229 G_A: 0.857 cycle_A: 0.478 idt_A: 0.420 D_B: 0.115 G_B: 0.504 cycle_B: 1.020 idt_B: 0.139 
(epoch: 11, iters: 300, time: 0.128, data: 0.001) D_A: 0.461 G_A: 0.845 cycle_A: 0.519 idt_A: 0.393 D_B: 0.100 G_B: 0.490 cycle_B: 0.969 idt_B: 0.313 
(epoch: 11, iters: 400, time: 0.341, data: 0.001) D_A: 0.247 G_A: 0.306 cycle_A: 0.752 idt_A: 0.299 D_B: 0.238 G_B: 0.584 cycle_B: 0.745 idt_B: 0.294 
(epoch: 12, iters: 100, time: 0.127, data: 0.162) D_A: 0.254 G_A: 0.412 cycle_A: 0.378 idt_A: 0.362 D_B: 0.172 G_B: 0.122 cycle_B: 0.858 idt_B: 0.204 
(epoch: 12, iters: 200, time: 0.127, data: 0.001) D_A: 0.076 G_A: 1.078 cycle_A: 0.395 idt_A: 0.696 D_B: 0.089 G_B: 0.809 cycle_B: 1.702 idt_B: 0.114 
(epoch: 12, iters: 300, time: 0.127, data: 0.001) D_A: 0.309 G_A: 0.313 cycle_A: 0.340 idt_A: 0.431 D_B: 0.266 G_B: 0.768 cycle_B: 0.972 idt_B: 0.117 
(epoch: 12, iters: 400, time: 0.327, data: 0.001) D_A: 0.125 G_A: 0.582 cycle_A: 0.384 idt_A: 0.401 D_B: 0.119 G_B: 0.714 cycle_B: 0.949 idt_B: 0.132 
(epoch: 13, iters: 100, time: 0.126, data: 0.159) D_A: 0.058 G_A: 0.388 cycle_A: 1.285 idt_A: 0.365 D_B: 0.103 G_B: 0.645 cycle_B: 1.069 idt_B: 0.512 
(epoch: 13, iters: 200, time: 0.127, data: 0.001) D_A: 0.214 G_A: 0.388 cycle_A: 0.679 idt_A: 0.410 D_B: 0.267 G_B: 0.287 cycle_B: 0.941 idt_B: 0.277 
(epoch: 13, iters: 300, time: 0.127, data: 0.001) D_A: 0.291 G_A: 0.319 cycle_A: 0.562 idt_A: 0.425 D_B: 0.316 G_B: 0.415 cycle_B: 0.945 idt_B: 0.253 
(epoch: 13, iters: 400, time: 0.394, data: 0.001) D_A: 0.301 G_A: 0.445 cycle_A: 0.395 idt_A: 0.399 D_B: 0.375 G_B: 0.187 cycle_B: 1.122 idt_B: 0.153 
(epoch: 14, iters: 100, time: 0.127, data: 0.152) D_A: 0.146 G_A: 0.509 cycle_A: 0.632 idt_A: 0.420 D_B: 0.412 G_B: 0.562 cycle_B: 0.953 idt_B: 0.172 
(epoch: 14, iters: 200, time: 0.127, data: 0.001) D_A: 0.493 G_A: 0.052 cycle_A: 0.458 idt_A: 0.419 D_B: 0.351 G_B: 0.795 cycle_B: 1.011 idt_B: 0.153 
(epoch: 14, iters: 300, time: 0.127, data: 0.001) D_A: 0.181 G_A: 0.632 cycle_A: 0.666 idt_A: 0.268 D_B: 0.200 G_B: 0.781 cycle_B: 0.719 idt_B: 0.335 
(epoch: 14, iters: 400, time: 0.361, data: 0.001) D_A: 0.287 G_A: 0.231 cycle_A: 0.819 idt_A: 0.394 D_B: 0.200 G_B: 0.400 cycle_B: 0.914 idt_B: 0.144 
(epoch: 15, iters: 100, time: 0.127, data: 0.202) D_A: 0.217 G_A: 0.530 cycle_A: 0.435 idt_A: 0.303 D_B: 0.112 G_B: 0.373 cycle_B: 0.730 idt_B: 0.119 
(epoch: 15, iters: 200, time: 0.127, data: 0.001) D_A: 0.293 G_A: 0.190 cycle_A: 0.373 idt_A: 0.397 D_B: 0.190 G_B: 0.220 cycle_B: 0.899 idt_B: 0.113 
(epoch: 15, iters: 300, time: 0.127, data: 0.001) D_A: 0.194 G_A: 0.407 cycle_A: 0.401 idt_A: 0.392 D_B: 0.318 G_B: 0.496 cycle_B: 0.928 idt_B: 0.127 
(epoch: 15, iters: 400, time: 0.369, data: 0.001) D_A: 0.175 G_A: 0.340 cycle_A: 0.429 idt_A: 0.343 D_B: 0.162 G_B: 0.288 cycle_B: 0.798 idt_B: 0.112 
(epoch: 16, iters: 100, time: 0.127, data: 0.200) D_A: 0.282 G_A: 0.224 cycle_A: 0.416 idt_A: 0.436 D_B: 0.179 G_B: 1.380 cycle_B: 1.061 idt_B: 0.129 
(epoch: 16, iters: 200, time: 0.127, data: 0.001) D_A: 0.331 G_A: 0.717 cycle_A: 0.346 idt_A: 0.508 D_B: 0.086 G_B: 0.271 cycle_B: 1.236 idt_B: 0.080 
(epoch: 16, iters: 300, time: 0.127, data: 0.001) D_A: 0.225 G_A: 0.544 cycle_A: 0.419 idt_A: 0.403 D_B: 0.066 G_B: 0.495 cycle_B: 1.115 idt_B: 0.086 
(epoch: 16, iters: 400, time: 0.356, data: 0.001) D_A: 0.213 G_A: 0.534 cycle_A: 0.339 idt_A: 0.416 D_B: 0.097 G_B: 0.575 cycle_B: 0.962 idt_B: 0.110 
(epoch: 17, iters: 100, time: 0.127, data: 0.199) D_A: 0.076 G_A: 0.820 cycle_A: 0.439 idt_A: 0.356 D_B: 0.252 G_B: 0.112 cycle_B: 0.804 idt_B: 0.085 
(epoch: 17, iters: 200, time: 0.126, data: 0.001) D_A: 0.194 G_A: 0.562 cycle_A: 0.433 idt_A: 0.436 D_B: 0.238 G_B: 0.227 cycle_B: 1.050 idt_B: 0.114 
(epoch: 17, iters: 300, time: 0.127, data: 0.001) D_A: 0.145 G_A: 0.223 cycle_A: 0.366 idt_A: 0.325 D_B: 0.162 G_B: 0.283 cycle_B: 0.787 idt_B: 0.103 
(epoch: 17, iters: 400, time: 0.344, data: 0.001) D_A: 0.213 G_A: 0.989 cycle_A: 0.317 idt_A: 0.401 D_B: 0.371 G_B: 0.113 cycle_B: 1.139 idt_B: 0.119 
(epoch: 18, iters: 100, time: 0.127, data: 0.179) D_A: 0.253 G_A: 0.690 cycle_A: 0.458 idt_A: 0.372 D_B: 0.291 G_B: 0.109 cycle_B: 0.918 idt_B: 0.146 
(epoch: 18, iters: 200, time: 0.127, data: 0.001) D_A: 0.238 G_A: 0.471 cycle_A: 0.379 idt_A: 0.398 D_B: 0.206 G_B: 0.636 cycle_B: 0.932 idt_B: 0.129 
(epoch: 18, iters: 300, time: 0.127, data: 0.001) D_A: 0.110 G_A: 1.096 cycle_A: 0.999 idt_A: 0.502 D_B: 0.181 G_B: 1.277 cycle_B: 2.592 idt_B: 0.303 
(epoch: 18, iters: 400, time: 0.347, data: 0.002) D_A: 0.203 G_A: 0.209 cycle_A: 0.439 idt_A: 0.326 D_B: 0.123 G_B: 0.605 cycle_B: 0.848 idt_B: 0.170 
(epoch: 19, iters: 100, time: 0.127, data: 0.178) D_A: 0.141 G_A: 0.385 cycle_A: 0.462 idt_A: 0.363 D_B: 0.065 G_B: 0.092 cycle_B: 0.944 idt_B: 0.108 
(epoch: 19, iters: 200, time: 0.127, data: 0.001) D_A: 0.360 G_A: 0.128 cycle_A: 0.495 idt_A: 0.365 D_B: 0.346 G_B: 0.850 cycle_B: 0.882 idt_B: 0.185 
(epoch: 19, iters: 300, time: 0.127, data: 0.001) D_A: 0.278 G_A: 0.148 cycle_A: 0.331 idt_A: 0.301 D_B: 0.134 G_B: 0.097 cycle_B: 0.742 idt_B: 0.113 
(epoch: 19, iters: 400, time: 0.391, data: 0.001) D_A: 0.193 G_A: 0.241 cycle_A: 0.783 idt_A: 0.363 D_B: 0.137 G_B: 0.631 cycle_B: 0.839 idt_B: 0.244 
